call_id,operator_id,client_id,timestamp_start,timestamp_end,wait_time,call_duration,status,call_type,reason,resolution,customer_satisfaction
1,7,73730,2025-01-25 19:54:52,2025-01-25 19:56:00,52,16,missed,outbound,billing,unresolved,1
2,20,46131,2025-01-25 10:44:12,2025-01-25 10:47:42,16,194,answered,inbound,billing,unresolved,3
3,15,94943,2025-01-29 13:55:08,2025-01-29 14:06:26,1,677,answered,outbound,technical,resolved,5
4,11,93737,2025-01-20 08:23:09,2025-01-20 08:28:41,29,303,answered,inbound,technical,resolved,1
5,8,37948,2025-01-03 13:47:19,2025-01-03 13:51:31,15,237,answered,inbound,other,resolved,4
6,7,56908,2025-01-06 19:02:54,2025-01-06 19:04:39,1,104,answered,outbound,other,unresolved,2
7,19,59835,2025-01-18 12:34:36,2025-01-18 12:35:43,57,10,answered,outbound,contract,unresolved,2
8,11,33115,2025-01-19 16:55:17,2025-01-19 17:08:25,34,754,answered,inbound,technical,resolved,4
9,11,37961,2025-01-08 15:41:50,2025-01-08 15:49:43,17,456,answered,outbound,billing,resolved,4
10,4,57083,2025-01-10 12:33:09,2025-01-10 12:35:34,21,124,answered,inbound,contract,resolved,4
11,8,69417,2025-01-22 09:03:02,2025-01-22 09:06:34,3,209,missed,outbound,other,unresolved,3
12,3,62062,2025-01-17 15:55:48,2025-01-17 15:58:20,5,147,abandoned,inbound,contract,unresolved,2
13,2,57182,2025-01-28 13:11:48,2025-01-28 13:15:39,21,210,answered,inbound,technical,resolved,3
14,12,12017,2025-01-13 16:32:46,2025-01-13 16:33:02,6,10,missed,inbound,technical,unresolved,1
15,6,14223,2025-01-19 16:16:46,2025-01-19 16:36:16,8,1162,answered,outbound,billing,resolved,4
16,2,71852,2025-01-02 11:38:07,2025-01-02 11:42:57,18,272,answered,inbound,other,resolved,5
17,1,60509,2025-01-01 08:04:31,2025-01-01 08:05:55,29,55,answered,outbound,billing,resolved,3
18,12,33075,2025-01-08 08:34:21,2025-01-08 08:37:13,32,140,answered,inbound,technical,unresolved,2
19,12,16531,2025-01-29 08:29:34,2025-01-29 08:31:55,26,115,abandoned,outbound,contract,unresolved,2
20,17,14666,2025-01-28 08:03:08,2025-01-28 08:04:29,3,78,answered,inbound,other,resolved,3
21,10,99317,2025-01-13 12:13:50,2025-01-13 12:15:36,3,103,abandoned,inbound,technical,unresolved,1
22,16,54023,2025-01-26 14:45:21,2025-01-26 14:48:01,9,151,answered,outbound,billing,resolved,5
23,15,45236,2025-01-27 16:35:03,2025-01-27 16:38:34,83,128,answered,outbound,billing,resolved,5
24,15,50059,2025-01-09 09:41:49,2025-01-09 09:47:20,4,327,answered,inbound,technical,unresolved,1
25,19,50023,2025-01-25 14:52:45,2025-01-25 14:53:58,51,22,answered,outbound,technical,resolved,2
26,12,14236,2025-01-21 16:46:09,2025-01-21 16:47:27,68,10,answered,inbound,other,unresolved,1
27,20,77475,2025-01-05 16:39:53,2025-01-05 16:42:03,4,126,answered,inbound,technical,resolved,5
28,3,46624,2025-01-21 12:04:13,2025-01-21 12:06:42,36,113,missed,outbound,technical,unresolved,2
29,5,42818,2025-01-01 18:04:50,2025-01-01 18:08:54,58,186,missed,inbound,technical,unresolved,3
30,19,91462,2025-01-22 16:43:14,2025-01-22 16:45:20,65,61,answered,outbound,technical,resolved,5
31,7,40100,2025-01-03 08:23:11,2025-01-03 08:23:28,1,16,answered,outbound,technical,resolved,4
32,9,76896,2025-01-13 16:41:19,2025-01-13 16:46:42,30,293,answered,inbound,technical,resolved,4
33,7,54696,2025-01-26 12:34:55,2025-01-26 12:36:47,8,104,answered,outbound,billing,resolved,5
